cgpa,backlogs,certifications,internship,aptitude,technical,communication,projects,hackathon,resume,branch,placement_readiness,company_fit,placement_score
7.82,2,4,1,6,6,5,3,0,6,CSE,1,Tier 2,38.460641399416915
6.41,3,3,1,4,5,4,2,0,7,MECH,0,Not Eligible,29.87172011661808
5.82,3,3,1,6,3,4,2,0,3,MECH,0,Not Eligible,26.215743440233236
9.29,3,5,1,5,8,5,4,1,4,ECE,1,Tier 3,42.63556851311954
9.45,2,6,1,7,7,6,5,0,6,ECE,1,Tier 2,46.705539358600575
8.5,2,6,1,8,7,7,4,1,7,CIVIL,1,Tier 2,46.93877551020408
6.91,3,4,1,4,7,4,2,0,5,ECE,1,Tier 3,32.932944606414
6.04,3,2,1,6,4,5,2,0,3,ECE,0,Not Eligible,28.204081632653065
8.05,2,5,1,6,6,4,4,1,6,ECE,1,Tier 2,40.029154518950435
7.33,2,5,1,5,4,5,2,1,3,CSE,1,Tier 3,33.8134110787172
6.18,3,5,1,3,3,4,2,1,6,ECE,0,Not Eligible,28.15743440233236
7.49,1,3,1,4,5,4,3,0,5,CSE,1,Tier 3,34.53061224489796
5.55,2,3,1,5,2,5,2,0,5,CSE,0,Not Eligible,27.20116618075802
9.0,2,3,2,4,6,8,4,1,7,ECE,1,Tier 2,45.33527696793003
6.76,3,4,1,5,5,4,2,1,5,ECE,1,Tier 3,31.941690962099127
7.98,2,4,1,6,5,6,4,1,5,CSE,1,Tier 2,39.76093294460642
6.93,2,5,1,6,5,5,2,0,6,CSE,1,Tier 3,35.44606413994169
7.56,2,3,1,3,6,4,2,1,7,CSE,1,Tier 3,34.79883381924198
7.64,3,3,1,7,7,4,2,1,4,CSE,1,Tier 3,36.542274052478135
6.48,1,3,1,7,5,6,2,1,5,ECE,0,Not Eligible,36.40816326530612
9.5,1,4,1,7,8,6,5,1,5,CSE,1,Tier 1,48.68804664723032
8.37,3,5,1,4,7,8,3,1,4,MECH,1,Tier 3,40.734693877551024
9.21,2,3,1,6,7,5,4,0,7,CSE,1,Tier 2,42.78717201166181
8.91,2,5,1,6,8,7,4,0,6,CSE,1,Tier 2,45.906705539358605
7.79,2,2,1,6,6,5,3,1,6,AI&DS,1,Tier 2,38.11661807580175
9.08,2,5,2,6,7,6,4,1,5,ECE,1,Tier 2,46.64139941690962
5.99,3,4,1,5,4,7,2,1,5,CSE,0,Not Eligible,32.34402332361516
6.52,2,3,1,5,5,3,2,0,6,CIVIL,1,Tier 3,30.64723032069971
5.66,3,2,1,5,3,5,1,1,7,CSE,0,Not Eligible,27.685131195335277
6.98,2,3,1,4,4,6,2,0,5,ISE,1,Tier 3,32.034985422740526
7.17,2,4,1,5,6,9,4,0,4,CSE,1,Tier 3,40.093294460641395
6.8,2,4,0,4,7,4,3,0,5,CIVIL,1,Tier 3,32.30320699708455
8.58,2,4,1,8,5,6,5,1,7,CSE,1,Tier 2,44.01749271137027
7.08,3,4,1,7,4,6,2,0,4,ISE,1,Tier 3,33.37609329446064
6.83,3,1,1,6,6,5,2,1,3,ECE,1,Tier 3,32.20991253644315
7.62,2,3,1,7,6,5,2,0,5,CSE,1,Tier 2,36.944606413994165
6.28,2,2,1,6,5,6,2,1,4,CIVIL,0,Not Eligible,32.99708454810496
8.47,2,5,1,6,7,6,5,0,5,ECE,1,Tier 2,43.241982507288625
5.89,2,3,1,2,4,3,1,0,5,MECH,0,Not Eligible,24.88046647230321
9.74,2,4,1,6,8,8,6,0,7,MECH,1,Tier 2,49.39941690962099
8.36,2,4,1,5,6,7,3,0,7,MECH,1,Tier 2,40.42565597667638
6.53,2,3,1,3,3,5,2,0,5,CSE,0,Not Eligible,28.62390670553936
5.13,3,2,1,2,3,4,1,0,5,ISE,0,Not Eligible,21.801749271137027
8.53,2,4,1,6,8,5,4,0,5,ECE,1,Tier 2,42.180758017492714
8.13,2,4,1,6,6,7,4,0,5,CSE,1,Tier 2,41.18950437317784
8.2,2,5,1,4,6,6,4,0,5,CSE,1,Tier 2,39.562682215743436
8.35,2,4,1,5,6,5,3,0,4,MECH,1,Tier 2,37.3469387755102
5.89,3,3,1,6,3,3,2,0,7,CIVIL,0,Not Eligible,27.212827988338194
7.08,2,5,1,4,6,6,2,0,6,MECH,1,Tier 3,35.85422740524781
6.15,2,2,1,5,3,4,1,1,4,CSE,0,Not Eligible,27.521865889212833
8.74,2,3,1,6,8,4,3,0,6,CSE,1,Tier 2,40.944606413994165
7.86,2,5,1,6,6,4,4,0,3,ECE,1,Tier 2,37.51020408163265
7.0,3,3,1,4,4,5,2,0,7,CSE,1,Tier 3,31.049562682215743
5.81,2,2,1,4,5,4,3,1,6,ECE,0,Not Eligible,30.862973760932945
6.93,2,3,1,5,5,5,2,1,5,MECH,1,Tier 3,33.55102040816326
6.98,2,3,1,5,4,5,2,1,6,CSE,1,Tier 3,33.3469387755102
8.2,2,6,1,6,7,4,4,1,4,ECE,1,Tier 2,41.16618075801749
7.91,2,5,1,6,6,5,4,0,4,ECE,1,Tier 2,38.90962099125365
8.87,1,6,1,9,5,8,5,1,4,ECE,1,Tier 1,47.731778425655975
7.42,2,3,1,9,5,7,3,1,5,MECH,1,Tier 3,39.94752186588921
6.17,2,2,1,4,4,5,3,0,6,MECH,0,Not Eligible,30.18075801749271
8.15,1,2,1,2,4,7,2,1,5,MECH,1,Tier 3,34.66472303206997
8.31,2,4,1,6,6,7,3,1,6,CSE,1,Tier 2,41.94169096209913
7.68,1,5,1,6,6,4,3,1,7,CIVIL,1,Tier 2,39.965014577259474
8.35,2,5,1,7,5,6,4,0,4,ECE,1,Tier 2,40.116618075801746
7.48,2,4,1,6,6,4,3,1,8,ISE,1,Tier 3,38.59475218658892
7.57,2,4,1,5,5,4,3,1,7,AI&DS,1,Tier 2,36.565597667638485
7.29,3,3,1,7,4,6,3,1,6,ECE,1,Tier 3,35.63848396501458
5.44,3,2,1,6,4,5,1,1,6,ISE,0,Not Eligible,28.612244897959183
6.1,2,3,1,2,5,4,2,1,6,ECE,0,Not Eligible,29.620991253644313
5.51,3,1,1,3,3,6,2,0,5,CSE,0,Not Eligible,25.381924198250726
7.9,3,4,1,5,5,6,3,0,7,CSE,1,Tier 3,36.85131195335277
6.94,2,4,1,5,6,4,3,0,5,ECE,1,Tier 3,34.588921282798836
7.52,3,3,1,5,5,4,3,0,6,MECH,1,Tier 3,32.9795918367347
8.99,1,6,2,7,5,8,4,0,8,AI&DS,1,Tier 1,49.10787172011662
6.72,3,6,1,6,5,5,2,1,2,ECE,1,Tier 3,33.32944606413994
7.24,2,4,1,7,4,6,2,0,6,MECH,1,Tier 3,35.40524781341108
8.29,2,5,1,6,6,3,3,0,7,CIVIL,1,Tier 2,38.11661807580175
6.65,3,3,1,4,6,5,2,1,3,ECE,1,Tier 3,31.603498542274057
5.91,3,3,1,4,4,4,1,0,5,CSE,0,Not Eligible,26.518950437317784
6.86,2,4,1,5,5,4,2,1,4,CIVIL,1,Tier 3,32.69970845481049
6.37,2,3,1,5,5,5,2,1,5,ECE,0,Not Eligible,32.71720116618076
9.14,2,4,1,7,7,8,4,1,6,MECH,1,Tier 2,46.60058309037901
8.5,1,5,1,9,5,9,4,0,5,MECH,1,Tier 1,45.91836734693878
7.89,2,5,1,5,6,6,4,0,7,CSE,1,Tier 2,40.62390670553936
8.78,2,5,1,6,7,6,3,0,6,CSE,1,Tier 2,42.76384839650146
8.48,2,5,1,9,7,5,5,1,6,CSE,1,Tier 2,46.17492711370262
6.48,3,3,1,4,5,6,2,0,7,CSE,0,Not Eligible,32.180758017492714
8.9,2,6,1,6,9,5,5,1,5,CIVIL,1,Tier 2,46.76384839650146
7.61,2,4,1,4,4,6,3,0,6,ECE,1,Tier 3,34.886297376093296
8.49,3,4,1,6,7,7,3,0,5,CSE,1,Tier 3,40.944606413994165
8.92,2,5,1,5,8,7,4,0,6,ECE,1,Tier 2,44.903790087463555
6.95,2,3,1,6,5,3,2,0,8,ECE,1,Tier 3,33.14868804664723
6.12,3,2,1,5,3,4,2,1,5,CSE,0,Not Eligible,27.61516034985423
6.64,3,3,1,3,6,3,3,0,6,CSE,1,Tier 3,30.71137026239067
7.29,3,4,1,6,3,5,2,1,6,ECE,1,Tier 3,32.57725947521866
8.54,3,4,2,6,6,7,3,1,7,ECE,1,Tier 3,43.655976676384846
8.73,2,6,1,7,8,8,3,1,4,ISE,1,Tier 2,46.75801749271137
5.15,3,2,1,2,3,4,1,0,7,ISE,0,Not Eligible,22.711370262390673
7.53,2,3,1,6,7,5,3,0,4,ECE,1,Tier 2,37.370262390670554
7.26,3,2,1,6,4,7,2,1,7,ECE,1,Tier 3,34.71137026239067
6.62,2,3,1,4,3,4,2,0,6,MECH,0,Not Eligible,28.635568513119537
6.17,2,2,1,3,3,3,3,0,5,CSE,0,Not Eligible,26.536443148688043
7.02,2,4,1,5,5,6,2,0,5,CSE,1,Tier 3,34.72886297376093
9.24,2,5,1,8,7,7,4,1,9,CSE,1,Tier 2,48.96209912536443
6.97,2,2,1,6,4,5,3,1,6,CSE,1,Tier 3,34.349854227405245
7.55,2,4,1,5,7,6,3,0,6,CSE,1,Tier 2,39.30029154518951
8.11,2,4,1,4,7,6,4,0,5,MECH,1,Tier 2,39.55102040816326
7.1,2,4,1,4,4,5,2,1,5,CSE,1,Tier 3,32.97376093294461
9.52,1,5,2,6,5,7,5,1,7,CSE,1,Tier 1,49.160349854227405
9.42,1,7,1,7,5,6,5,0,5,MECH,1,Tier 1,45.48688046647229
6.73,2,2,1,5,5,6,2,1,6,MECH,1,Tier 3,33.93002915451895
7.49,3,5,1,4,6,6,3,1,5,CSE,1,Tier 3,37.154518950437314
6.9,2,3,1,6,5,5,2,0,6,MECH,1,Tier 3,33.79008746355685
6.85,2,4,1,5,5,5,3,0,6,MECH,1,Tier 3,34.43148688046647
5.57,2,2,1,5,3,4,1,1,5,ECE,0,Not Eligible,26.6530612244898
7.82,2,5,1,3,6,4,3,1,6,AI&DS,1,Tier 2,36.85714285714286
7.51,2,4,1,2,7,5,3,0,6,CSE,1,Tier 2,36.16909620991254
5.71,3,2,1,2,1,4,2,0,3,ECE,0,Not Eligible,20.33819241982507
6.82,2,4,1,4,5,4,2,0,7,CSE,1,Tier 3,32.775510204081634
8.99,2,5,1,7,6,6,3,0,6,CSE,1,Tier 2,42.69387755102041
6.69,3,3,1,1,3,8,2,0,6,CSE,0,Not Eligible,29.34110787172012
6.3,2,4,1,7,3,3,2,0,6,MECH,0,Not Eligible,29.97084548104956
7.47,3,3,1,5,6,5,3,0,3,ECE,1,Tier 3,33.766763848396494
9.72,3,6,1,8,8,6,5,1,6,AI&DS,1,Tier 3,49.07288629737609
6.7,3,3,1,4,6,5,3,0,6,MECH,1,Tier 3,32.857142857142854
8.01,2,4,1,6,6,5,3,0,6,ISE,1,Tier 2,38.64723032069971
8.32,3,5,1,6,4,6,4,0,7,CSE,1,Tier 3,38.6064139941691
6.68,2,2,1,6,4,4,1,0,5,CSE,0,Not Eligible,29.9067055393586
8.2,3,4,1,5,5,7,3,0,7,ECE,1,Tier 3,37.95918367346938
7.11,2,5,1,6,4,5,3,1,5,CIVIL,1,Tier 3,35.46938775510204
7.89,3,5,1,7,6,5,3,0,7,CSE,1,Tier 3,39.1661807580175
7.89,2,4,1,4,6,7,3,0,5,ISE,1,Tier 2,38.291545189504376
7.6,3,4,1,6,6,5,4,1,5,CSE,1,Tier 3,38.221574344023324
6.0,2,2,1,2,3,3,3,0,4,CIVIL,0,Not Eligible,24.635568513119534
8.61,3,6,1,7,7,6,4,1,7,ECE,1,Tier 3,44.50728862973761
6.96,3,3,1,8,4,7,3,1,5,ECE,1,Tier 3,36.22740524781341
6.48,3,3,1,3,5,3,1,1,5,AI&DS,0,Not Eligible,27.953352769679302
5.61,3,3,1,4,4,3,1,1,4,CIVIL,0,Not Eligible,25.11953352769679
7.77,2,3,1,7,5,7,3,0,5,ISE,1,Tier 2,38.518950437317784
8.03,3,6,1,6,6,5,3,1,6,ECE,1,Tier 3,39.41107871720117
5.32,2,1,1,4,3,5,1,1,2,AI&DS,0,Not Eligible,24.75801749271137
7.54,2,5,1,5,7,5,2,1,3,MECH,1,Tier 2,37.24198250728863
6.64,2,3,1,4,5,5,2,1,5,CIVIL,1,Tier 3,32.31486880466473
7.93,2,4,2,5,6,8,4,1,2,MECH,1,Tier 2,42.44314868804665
6.43,3,1,1,5,4,3,3,0,5,MECH,0,Not Eligible,27.42857142857143
8.07,2,4,1,4,7,7,3,1,5,MECH,1,Tier 2,40.355685131195344
7.17,2,3,1,5,6,6,2,1,6,MECH,1,Tier 3,36.448979591836725
9.19,1,5,1,8,7,5,3,1,6,ECE,1,Tier 1,45.813411078717195
6.26,3,3,1,4,3,5,2,0,7,MECH,0,Not Eligible,28.151603498542276
7.03,3,4,1,3,4,5,3,0,6,CSE,1,Tier 3,31.393586005830905
6.14,3,3,1,4,4,5,2,0,3,MECH,0,Not Eligible,27.358600583090382
9.1,1,5,1,5,8,7,5,1,6,ECE,1,Tier 1,48.134110787172006
8.81,2,4,1,4,6,6,4,1,8,CIVIL,1,Tier 2,41.79591836734694
6.75,2,3,1,5,4,5,2,1,4,MECH,1,Tier 3,31.63265306122449
7.98,2,6,1,4,4,6,3,0,6,ECE,1,Tier 2,36.69970845481049
8.53,2,4,1,5,8,7,4,0,8,CSE,1,Tier 2,44.804664723032076
7.66,2,5,1,5,6,4,2,1,5,CIVIL,1,Tier 2,36.285714285714285
7.59,3,4,1,3,6,7,3,0,7,CSE,1,Tier 3,36.89212827988338
6.7,2,3,1,2,6,4,3,0,4,CIVIL,1,Tier 3,30.816326530612248
6.02,3,4,1,5,4,5,3,0,1,MECH,0,Not Eligible,28.460641399416907
8.92,2,6,1,3,7,7,3,1,8,CSE,1,Tier 2,44.02915451895043
8.94,2,5,1,5,8,5,4,0,7,ISE,1,Tier 2,43.772594752186585
7.89,2,4,1,3,6,6,4,0,6,CSE,1,Tier 2,38.14577259475219
7.02,2,3,1,4,5,4,3,1,4,CSE,1,Tier 3,32.9795918367347
7.05,2,4,1,6,6,6,2,0,4,CSE,1,Tier 3,36.23906705539358
8.19,2,5,1,6,7,5,2,0,7,AI&DS,1,Tier 2,40.4198250728863
8.92,1,5,1,9,7,5,4,0,6,MECH,1,Tier 1,45.92419825072886
8.87,2,5,1,7,7,8,4,1,6,ISE,1,Tier 2,47.00291545189504
8.38,2,6,1,4,7,6,3,1,6,CSE,1,Tier 2,42.06413994169097
7.92,2,4,1,4,7,7,4,0,8,CSE,1,Tier 2,41.84256559766764
5.96,3,3,1,8,5,4,2,1,6,ECE,0,Not Eligible,32.583090379008745
6.37,3,2,1,6,5,3,1,1,4,ECE,0,Not Eligible,28.635568513119537
8.93,3,3,1,7,7,8,3,1,5,MECH,1,Tier 3,43.17201166180757
7.81,2,4,1,5,5,6,3,0,6,ECE,1,Tier 2,37.13119533527697
5.2,2,2,1,4,2,5,2,1,3,ECE,0,Not Eligible,24.985422740524783
6.07,3,2,1,2,5,5,2,1,3,CSE,0,Not Eligible,27.6734693877551
7.99,2,4,1,6,5,6,3,1,7,ECE,1,Tier 2,39.4868804664723
5.12,3,2,1,4,3,4,1,1,5,CSE,0,Not Eligible,24.262390670553934
6.37,1,4,1,3,6,7,2,0,5,ISE,0,Not Eligible,35.19533527696793
7.64,3,4,1,5,7,6,4,1,4,ISE,1,Tier 3,39.02040816326531
8.08,2,4,1,8,6,7,3,1,8,CIVIL,1,Tier 2,43.43440233236152
7.95,2,5,1,5,5,4,4,0,7,CSE,1,Tier 2,37.813411078717195
6.63,3,3,1,8,4,6,2,0,5,CSE,1,Tier 3,33.31778425655977
8.14,2,5,1,3,7,4,4,0,5,ECE,1,Tier 2,37.85422740524781
6.68,2,3,1,4,4,6,3,1,5,MECH,1,Tier 3,32.967930029154516
6.98,2,3,1,3,4,6,3,1,5,ISE,1,Tier 3,33.055393586005835
8.26,2,4,1,4,7,6,3,1,9,CIVIL,1,Tier 2,41.56268221574344
7.94,3,4,1,4,6,6,4,0,5,CSE,1,Tier 3,37.35860058309037
8.67,2,5,1,6,6,6,4,0,5,AI&DS,1,Tier 2,41.84256559766764
7.97,2,4,1,6,6,5,3,1,8,CSE,1,Tier 2,40.47230320699708
7.7,2,2,1,4,6,5,4,1,5,CIVIL,1,Tier 2,36.50145772594752
6.02,3,2,1,1,3,7,1,1,6,ECE,0,Not Eligible,26.4198250728863
7.11,2,4,1,7,5,7,3,0,6,MECH,1,Tier 3,38.093294460641395
6.78,2,3,1,4,4,4,3,0,5,MECH,1,Tier 3,30.518950437317788
6.7,3,3,1,3,5,5,3,1,4,CIVIL,1,Tier 3,30.962099125364436
9.54,2,6,1,7,8,7,4,0,6,MECH,1,Tier 2,47.883381924198254
7.19,3,3,1,5,4,5,4,0,4,CIVIL,1,Tier 3,32.11078717201166
8.89,2,4,1,6,5,5,3,1,6,CSE,1,Tier 2,40.04081632653062
7.89,2,4,1,6,7,6,4,1,7,CIVIL,1,Tier 2,42.3731778425656
8.44,2,4,1,4,5,7,4,1,8,AI&DS,1,Tier 2,41.29446064139941
7.51,2,3,1,6,6,5,4,1,4,MECH,1,Tier 2,37.77259475218659
7.72,2,4,1,4,5,8,2,1,5,AI&DS,1,Tier 2,37.84839650145773
7.48,2,4,1,4,5,7,2,0,5,CSE,1,Tier 3,35.67930029154519
6.52,1,3,1,6,6,5,3,1,5,CIVIL,1,Tier 3,36.76967930029155
8.18,2,5,1,7,9,5,2,1,4,CSE,1,Tier 2,43.026239067055386
6.83,2,5,1,7,3,6,2,0,4,ECE,1,Tier 3,33.37609329446064
5.43,2,2,1,6,4,4,1,1,3,MECH,0,Not Eligible,27.282798833819243
7.93,2,4,1,5,6,6,3,1,4,MECH,1,Tier 2,38.361516034985414
6.44,2,3,1,2,5,7,3,1,4,MECH,0,Not Eligible,32.69387755102041
9.22,3,4,1,8,8,7,4,0,8,CSE,1,Tier 3,47.032069970845484
9.34,1,5,1,8,9,9,4,0,7,AI&DS,1,Tier 1,52.63556851311954
9.03,3,5,1,5,7,7,4,1,6,CSE,1,Tier 3,43.93002915451895
7.12,3,4,1,6,4,5,3,0,7,MECH,1,Tier 3,33.73760932944606
5.3,3,4,0,3,4,7,1,0,5,CIVIL,0,Not Eligible,25.160349854227405
9.13,3,4,1,8,7,8,4,1,7,CIVIL,1,Tier 3,46.583090379008745
7.29,2,3,1,4,5,5,2,1,5,MECH,1,Tier 3,33.45189504373178
9.47,1,5,2,9,7,7,4,0,6,ECE,1,Tier 1,51.1137026239067
9.43,2,6,1,7,8,8,5,0,5,ECE,1,Tier 2,49.14868804664722
8.69,1,5,1,8,8,6,4,1,5,ECE,1,Tier 1,47.41690962099125
6.88,2,4,1,4,3,5,2,1,5,ECE,1,Tier 3,31.131195335276967
7.16,2,2,1,6,6,4,3,0,6,MECH,1,Tier 3,34.82798833819242
8.68,2,3,1,4,6,4,3,0,6,MECH,1,Tier 2,36.61224489795918
6.95,3,3,1,6,3,5,2,0,5,ECE,1,Tier 3,30.08746355685131
6.41,2,4,1,6,4,5,2,1,4,MECH,0,Not Eligible,32.34985422740525
7.67,2,3,1,9,5,6,3,1,6,ECE,1,Tier 2,40.093294460641395
9.19,2,3,1,7,5,6,4,1,6,CSE,1,Tier 2,42.46064139941691
8.09,2,5,1,7,5,4,3,0,6,CIVIL,1,Tier 2,37.7667638483965
7.7,2,4,1,5,4,5,2,0,3,CIVIL,1,Tier 3,32.565597667638485
6.04,2,2,1,5,3,6,2,1,5,CSE,0,Not Eligible,30.390670553935863
7.84,2,3,1,5,4,5,2,1,7,MECH,1,Tier 3,34.85131195335276
9.79,1,5,1,7,7,7,5,1,7,ECE,1,Tier 1,50.06997084548105
6.27,3,3,1,5,3,4,3,0,5,CSE,0,Not Eligible,28.460641399416907
7.55,2,3,1,5,6,5,3,0,7,ECE,1,Tier 2,36.822157434402335
8.81,3,5,2,6,7,6,3,1,5,CSE,1,Tier 3,44.4198250728863
8.24,2,2,1,5,6,5,3,0,6,MECH,1,Tier 2,36.862973760932945
8.09,2,4,1,5,6,8,3,0,6,CSE,1,Tier 2,40.82798833819242
8.11,2,3,1,7,6,7,4,0,7,CSE,1,Tier 2,42.17492711370262
7.08,3,3,1,5,4,7,3,1,3,CSE,1,Tier 3,33.66763848396502
6.88,2,3,1,5,4,7,3,1,4,CSE,1,Tier 3,34.92128279883382
8.5,2,5,1,4,7,4,4,1,8,MECH,1,Tier 2,41.2536443148688
8.5,2,3,1,6,4,7,4,1,3,MECH,1,Tier 2,38.48396501457726
8.76,2,5,1,7,6,6,4,1,7,CSE,1,Tier 2,44.478134110787174
9.02,3,5,2,5,6,8,4,1,5,MECH,1,Tier 3,45.07871720116618
7.53,2,5,1,8,6,5,3,1,6,CSE,1,Tier 2,40.86880466472304
7.5,2,3,1,2,4,4,3,1,7,ECE,1,Tier 3,32.21574344023323
8.46,1,5,1,7,6,5,4,1,6,CSE,1,Tier 2,43.80758017492711
7.94,2,3,1,6,6,6,4,0,7,MECH,1,Tier 2,39.836734693877546
8.11,2,2,1,6,4,7,4,0,5,ECE,1,Tier 2,37.36443148688047
8.45,3,5,1,6,5,6,4,0,6,MECH,1,Tier 3,39.12536443148687
8.88,2,5,1,7,7,5,4,1,7,ECE,1,Tier 2,44.68804664723032
7.02,2,4,1,6,5,8,3,1,5,CSE,1,Tier 3,38.95626822157435
7.13,3,2,1,4,5,6,2,1,6,MECH,1,Tier 3,32.73469387755102
6.02,3,3,1,5,4,5,3,0,6,ECE,0,Not Eligible,30.209912536443152
7.73,3,6,1,5,4,7,4,0,7,ECE,1,Tier 3,38.01166180758017
5.56,2,3,1,3,2,2,1,0,3,CSE,0,Not Eligible,21.387755102040817
7.4,2,4,1,6,5,4,3,0,5,MECH,1,Tier 3,34.81049562682216
7.62,2,4,1,4,4,7,3,1,6,CSE,1,Tier 2,36.944606413994165
6.85,1,2,1,3,4,4,3,0,5,ECE,1,Tier 3,30.64139941690962
7.77,2,5,1,5,7,5,3,0,6,CSE,1,Tier 2,39.393586005830905
5.5,2,2,1,3,4,4,1,0,5,MECH,0,Not Eligible,25.218658892128282
5.58,3,3,1,6,3,3,2,0,4,CSE,0,Not Eligible,25.795918367346935
8.56,2,3,1,6,6,6,4,0,6,CIVIL,1,Tier 2,40.48396501457726
7.09,2,3,1,7,6,6,3,1,4,CIVIL,1,Tier 3,37.7667638483965
6.21,3,4,1,4,4,5,2,0,4,AI&DS,0,Not Eligible,28.938775510204078
7.56,2,4,1,6,4,7,3,0,4,ISE,1,Tier 2,36.40233236151604
8.35,2,6,1,10,4,7,4,1,6,AI&DS,1,Tier 2,44.63556851311953
6.6,2,3,1,5,6,5,2,1,5,CIVIL,1,Tier 3,34.1399416909621
7.86,2,3,1,7,4,6,3,0,5,CSE,1,Tier 2,36.78134110787172
5.97,2,3,1,5,4,5,2,0,7,ECE,0,Not Eligible,30.851311953352766
5.71,3,2,1,2,5,4,1,0,4,CSE,0,Not Eligible,24.857142857142854
7.59,3,4,1,6,6,4,3,0,6,ECE,1,Tier 3,35.72594752186588
7.62,2,4,1,6,5,5,3,1,5,ECE,1,Tier 2,37.09037900874635
7.91,2,3,1,5,4,5,3,1,5,ISE,1,Tier 2,35.26530612244898
8.19,3,4,1,4,4,5,4,1,6,AI&DS,1,Tier 3,35.900874635568506
9.58,2,7,1,7,8,7,4,1,6,CSE,1,Tier 2,49.84839650145773
7.55,1,4,1,4,7,6,3,1,6,ECE,1,Tier 2,40.32069970845482
6.97,2,3,1,8,4,6,3,0,6,ECE,1,Tier 3,36.09912536443149
8.44,2,5,1,6,6,7,5,1,5,ECE,1,Tier 2,43.772594752186585
6.8,2,3,1,3,5,6,2,1,4,ECE,1,Tier 3,32.44897959183673
7.32,3,4,1,4,4,5,2,1,4,ISE,1,Tier 3,31.609329446064137
5.92,2,2,0,4,4,6,2,0,7,CIVIL,0,Not Eligible,27.848396501457724
5.44,2,2,1,7,3,5,2,0,6,CSE,0,Not Eligible,29.486880466472304
9.42,1,6,1,5,7,8,4,1,7,CSE,1,Tier 1,48.83965014577259
8.61,2,4,1,6,6,8,4,0,6,MECH,1,Tier 2,42.903790087463555
8.09,1,5,1,5,8,7,4,0,4,MECH,1,Tier 2,43.59766763848396
7.23,3,4,2,6,6,5,3,1,5,MECH,1,Tier 3,38.59475218658892
6.43,2,2,1,4,5,5,2,0,5,AI&DS,0,Not Eligible,30.927113702623902
6.35,2,4,0,3,3,4,2,1,4,CSE,0,Not Eligible,26.122448979591834
6.73,3,3,1,4,6,4,2,1,3,ECE,1,Tier 3,30.868804664723033
7.64,3,5,1,5,6,7,3,1,4,AI&DS,1,Tier 3,38.58309037900875
8.15,2,4,1,5,4,5,4,0,7,MECH,1,Tier 2,36.85131195335277
7.98,2,4,1,5,6,8,3,1,4,MECH,1,Tier 2,40.19825072886297
6.83,3,4,1,6,4,5,2,0,6,CSE,1,Tier 3,32.35568513119534
9.35,2,5,1,6,5,10,5,1,6,CSE,1,Tier 2,47.55102040816326
8.23,2,3,1,4,6,5,4,1,7,ECE,1,Tier 2,39.03206997084548
