Question,Option A,Option B,Option C,Option D,Answer
What is the extension of a compiled Java file?,.java,.class,.exe,.jar,B
Which command is used to create a directory in Linux?,mkdir,md,create,newdir,A
What does CPU stand for?,Central Processing Unit,Computer Processing Unit,Core Processing Unit,Control Processing Unit,A
Which HTTP method is used for sending data to a server?,GET,POST,PUT,DELETE,B
What is the output of Math.floor(3.7) in JavaScript?,3,4,3.7,Error,A
Which of these is not a valid IP address?,192.168.1.1,256.0.0.1,172.16.254.1,10.0.0.1,B
What does JSON stand for?,JavaScript Object Notation,Java Standard Object Notation,JavaScript Oriented Notation,JSON Object Notation,A
Which Python library is used for numerical computations?,NumPy,Pandas,Matplotlib,Requests,A
What is the maximum value of an 8-bit integer?,127,255,256,1023,B
Which protocol is used for dynamic IP assignment?,HTTP,DHCP,FTP,SSH,B
What does GUI stand for?,Graphical User Interface,General User Interface,Graphical Unified Interface,Global User Interface,A
Which operator is used for modulo in Python?,%,mod,//,#,A
"What is the output of ""hello"".upper() in Python?",HELLO,Hello,Error,None,A
Which of these is not a cloud service provider?,AWS,Azure,Google Cloud,Oracle Cloud,D
What does BIOS stand for?,Basic Input Output System,Boot Input Output System,Binary Input Output Service,Basic Integrated Operating System,A
Which sorting algorithm has the best average-case time complexity?,Bubble Sort,Merge Sort,Quick Sort,Insertion Sort,C
What is the extension of a JavaScript file?,.js,.java,.py,.html,A
Which command is used to check your current directory in Linux?,pwd,ls,cd,whereami,A
What does XML stand for?,Extensible Markup Language,Extended Markup Language,Executable Markup Language,External Markup Language,A
Which Python data type is immutable?,list,dict,set,tuple,D
What is the output of 10 / 3 in Python?,3,3.333...,3,Error,B
Which of these is not a valid programming paradigm?,Object-Oriented,Functional,Procedural,Linear,D
What does CLI stand for?,Command Line Interface,Computer Language Interface,Common Line Interpreter,Control Line Interface,A
Which data structure uses LIFO principle?,Queue,Stack,Tree,Graph,B
What is the default port for SSH?,22,80,443,21,A
Which HTML tag is used for JavaScript?,<script>,<js>,<javascript>,<code>,A
What does MVC stand for?,Model View Controller,Main View Controller,Model Visual Control,Module View Controller,A
Which operator is used for logical AND in Python?,AND,&,&&,and,D
What is the output of 0.1 + 0.2 == 0.3 in Python?,True,False,Error,None,B
Which of these is not a JavaScript data type?,string,number,boolean,float,D
What does IoT stand for?,Internet of Things,Intranet of Things,Integrated Online Technology,Internet Online Transfer,A
Which Python function is used to read user input?,input(),read(),get(),scan(),A
What is the complexity of merge sort in the worst case?,O(n),O(n log n),O(n^2),O(log n),B
Which protocol is used for file transfer?,HTTP,FTP,SMTP,DHCP,B
What does AJAX stand for?,Asynchronous JavaScript and XML,Advanced JavaScript and XML,Automated JSON and XML,Asynchronous jQuery and XML,A
Which command is used to remove a file in Linux?,rm,del,remove,erase,A
What is the output of 2 ** 3 in Python?,6,8,9,Error,B
Which of these is not a valid variable name in Python?,my_var,_var,123var,var123,C
What does CDN stand for?,Content Delivery Network,Computer Data Network,Cached Data Node,Centralized Data Network,A
Which data structure allows O(1) average time complexity for insertions and deletions?,Array,Linked List,Hash Table,Stack,C
What is the extension of a compressed archive file?,.zip,.exe,.doc,.py,A
Which CSS property is used for element positioning?,display,position,align,layout,B
What does SaaS stand for?,Software as a Service,Storage as a Service,System as a Service,Server as a Service,A
Which Python library is used for data analysis?,NumPy,Pandas,Matplotlib,SciPy,B
"What is the output of len(""Python"") in Python?",5,6,7,Error,B
Which of these is not a Linux distribution?,Ubuntu,Debian,Windows,CentOS,C
What does TCP stand for?,Transmission Control Protocol,Transfer Control Protocol,Telecommunication Control Protocol,Traffic Control Protocol,A
Which HTML tag is used for an unordered list?,ul,ol,li,list,A
What is the complexity of linear search in the worst case?,O(1),O(n),O(log n),O(n^2),B
Which command is used to update package lists in Ubuntu?,apt update,apt upgrade,apt install,apt remove,A
What does RGB stand for?,Red Green Blue,Red Gray Black,Row Grid Binary,Random Gradient Blend,A
Which JavaScript method is used to print to the console?,print(),log(),console.log(),display(),C
"What is the output of ""5"" + 2 in JavaScript?",52,7,5 2,Error,A
Which of these is not a valid HTML5 tag?,<header>,<footer>,<sidebar>,<article>,C
What does REST stand for?,Representational State Transfer,Remote State Transfer,Resource State Transfer,Representative State Transfer,A
Which Python keyword is used for defining functions?,def,function,define,func,A
What is the default port for MySQL?,80,3306,5432,27017,B
Which of these is not a valid CSS unit?,px,em,rem,ppm,D
What does ASCII stand for?,American Standard Code for Information Interchange,Advanced System Code for Information Interchange,American Symbolic Code for Information Interchange,Automated Standard Code for Internet Communication,A
Which command is used to clone a Git repository?,git clone,git copy,git pull,git download,A
What is the primary purpose of an ORM (Object-Relational Mapping)?,To map objects to database tables,To optimize network traffic,To encrypt data,To compile code,A
Which Python library is used for machine learning?,NumPy,TensorFlow,Pandas,Matplotlib,B
What does the yield keyword do in Python?,Returns a value and terminates the function,Returns a generator object,Pauses the function and returns a value,Skips the current iteration,C
Which protocol is used by DNS?,TCP,UDP,HTTP,FTP,B
What is the output of 5 // 2 in Python?,2.5,2,3,Error,B
Which data structure is used for recursion calls?,Queue,Stack,Heap,Tree,B
What does the finally block do in exception handling?,Executes if no exception occurs,Executes only if an exception occurs,Always executes,Skips execution,C
"Which HTTP status code means ""Not Found""?",200,302,404,500,C
What is the main use of Kubernetes?,Version control,Container orchestration,Database management,Networking,B
Which command lists all running processes in Linux?,ps,ls,top,process,A
What does the *args syntax do in Python?,Unpacks a dictionary,Handles variable-length arguments,Multiplies numbers,Creates a list,B
Which algorithm is used for page replacement in OS?,Dijkstra's,LRU,Bubble Sort,Quick Sort,B
What is the extension of a TypeScript file?,.ts,.js,.ty,.typescript,A
Which database is column-family based?,MySQL,MongoDB,Cassandra,PostgreSQL,C
What does the volatile keyword do in Java?,Ensures thread safety,Optimizes memory usage,Prevents variable modification,Marks a variable as constant,A
Which tool is used for containerization?,Git,Docker,Jenkins,Kubernetes,B
What is the output of 'abc' * 2 in Python?,'abcabc','abc2','aabbcc',Error,A
Which sorting algorithm is in-place?,Merge Sort,Quick Sort,Heap Sort,Both B and C,D
What does the @staticmethod decorator do in Python?,Marks a method as abstract,Makes a method belong to the class (not instance),Prevents method overriding,Enforces static typing,B
Which protocol is stateless?,HTTP,FTP,SMTP,Telnet,A
What is the complexity of hash table lookups?,O(1),O(n),O(log n),O(n^2),A
Which Python library is used for plotting graphs?,NumPy,Pandas,Matplotlib,Seaborn,C
What does the super() function do in Python?,Calls the parent class method,Creates a superuser,Skips class inheritance,Terminates the program,A
Which command shows disk usage in Linux?,du,df,disk,usage,B
What is the default port for MySQL?,3306,5432,27017,8080,A
Which data structure is used in BFS?,Stack,Queue,Heap,Tree,B
What does the zip() function do in Python?,Compresses files,Combines iterables element-wise,Unzips files,Encrypts data,B
Which algorithm guarantees shortest path in a weighted graph?,BFS,Dijkstra's,DFS,Bubble Sort,B
"What is the output of bool(""False"") in Python?",True,False,Error,None,A
Which HTTP method is idempotent?,POST,PUT,DELETE,Both B and C,D
What does the __init__.py file do in Python?,Initializes the interpreter,Marks a directory as a Python package,Starts a server,Compiles code,B
Which protocol is used for clock synchronization?,NTP,DHCP,SNMP,ICMP,A
What is the extension of a Markdown file?,.md,.mkd,.markdown,.txt,A
Which Python library is used for web scraping?,BeautifulSoup,Scrapy,Requests,All of the above,D
What does the lambda keyword do in Python?,Defines an anonymous function,Creates a loop,Imports a module,Handles exceptions,A
Which command checks connectivity between two hosts?,ping,traceroute,netstat,ifconfig,A
What is the output of [x for x in range(3)] in Python?,"[0, 1, 2]","[1, 2, 3]",Error,[3],A
Which data structure is used in DFS?,Queue,Stack,Heap,Tree,B
What does the any() function do in Python?,Checks if all elements are True,Checks if any element is True,Returns all elements,Counts elements,B
Which algorithm uses divide-and-conquer?,Bubble Sort,Merge Sort,Selection Sort,Insertion Sort,B
What is the output of 'Hello'.islower() in Python?,True,False,Error,None,B
Which Python library is used for scientific computing?,NumPy,Pandas,Matplotlib,Seaborn,A
What does the __str__ method do in Python?,Initializes an object,Returns a string representation,Deletes an object,Compares objects,B
Which command lists environment variables in Linux?,env,printenv,set,All of the above,D
What is the default port for PostgreSQL?,3306,5432,27017,8080,B
Which data structure is used in LRU cache?,Queue,Stack,Hash Map + Doubly Linked List,Heap,C
What does the map() function do in Python?,Creates a dictionary,Applies a function to iterable items,Draws a map,Filters elements,B
Which sorting algorithm has worst-case O(n log n)?,Quick Sort,Merge Sort,Insertion Sort,Bubble Sort,B
What is the output of 'Python'[1:4] in Python?,'Pyth','yth','ytho','thon',B
Which HTTP header is used for content type?,Content-Type,Accept,Authorization,Cache-Control,A
What does the __name__ variable equal when a script is run directly?,__main__,__direct__,__script__,__file__,A
Which protocol is used for network management?,SNMP,SMTP,HTTP,DHCP,A
What is the extension of a Dockerfile?,.docker,.df,.dcr,No extension,D
Which Python library is used for async programming?,asyncio,threading,multiprocessing,concurrent,A
What does the enumerate() function do in Python?,Counts elements,Adds indices to iterable,Sorts items,Filters items,B
Which command shows active network connections?,netstat,ifconfig,ping,traceroute,A
Which data structure is used in priority queues?,Stack,Queue,Heap,Tree,C
What does the all() function do in Python?,Checks if all elements are True,Checks if any element is True,Returns all elements,Counts elements,A
Which algorithm is used in Python's sorted() function?,Quick Sort,Timsort,Merge Sort,Heap Sort,B
Which Python library is used for SQLite?,sqlite3,pymysql,psycopg2,sqlalchemy,A
What does the __del__ method do in Python?,Initializes an object,Deletes an object,Compares objects,Serializes an object,B
Which command compresses files in Linux?,gzip,tar,zip,compress,A
What is the default port for MongoDB?,3306,5432,27017,8080,C
Which data structure is used in Redis?,Stack,Queue,Hash Table,All of the above,D
What does the filter() function do in Python?,Creates a dictionary,Applies a function to filter items,Sorts items,Counts items,B
Which algorithm is used for cycle detection in graphs?,Dijkstra's,Floyd-Warshall,Union-Find,Depth-First Search,C
What is the output of 'Python'.find('th') in Python?,2,3,4,-1,A
Which HTTP method is safe?,GET,POST,PUT,DELETE,A
What does the __dict__ attribute contain in Python?,Class methods,Instance variables,Module names,Docstrings,B
Which protocol is used for VoIP?,HTTP,FTP,SIP,SMTP,C
What is the extension of a YAML file?,.yml,.yaml,.yml or .yaml,.data,C
Which Python library is used for testing?,unittest,pytest,nose,All of the above,D
What does the reduce() function do in Python?,Applies a rolling computation to iterable,Decreases memory usage,Skips iterations,Terminates early,A
Which command shows system logs in Linux?,dmesg,log,syslog,cat /var/log/syslog,A
What is the output of 'Python'.split('t') in Python?,"['Py', 'hon']","['Pyth', 'on']","['P', 'hon']",Error,A
Which data structure is used in Python's collections.deque?,Linked List,Array,Hash Table,Tree,A
What does the hasattr() function do in Python?,Checks if an attribute exists,Deletes an attribute,Adds an attribute,Lists attributes,A
Which algorithm is used for regex matching?,Knuth-Morris-Pratt,Boyer-Moore,Thompson's NFA,All of the above,D
What is the output of 'Python'.endswith('on') in Python?,True,False,Error,None,A
Which Python library is used for GUI development?,tkinter,PyQt,Kivy,All of the above,D
What does the __slots__ attribute do in Python?,Prevents dynamic attribute creation,Speeds up class execution,Reduces memory usage,All of the above,D
Which command searches for text in files in Linux?,grep,find,locate,search,A
What is the default port for Redis?,3306,5432,6379,8080,C
Which data structure is used in Python's heapq module?,Stack,Queue,Heap,Tree,C
What does the functools.partial function do in Python?,Freezes function arguments,Creates decorators,Handles exceptions,Optimizes recursion,A
Which algorithm is used in Git for diffing?,Myers,Levenshtein,Dijkstra's,Knuth-Morris-Pratt,A
What is the output of 'Python'[::-1] in Python?,'Pytho','nohtyP','Python',Error,B
Which HTTP header prevents caching?,Cache-Control,Expires,Pragma,All of the above,D
What does the __bases__ attribute contain in Python?,Parent classes,Class methods,Instance variables,Docstrings,A
Which protocol is used for streaming media?,RTSP,HTTP,FTP,SMTP,A
What is the extension of a Go file?,.go,.golang,.goo,.src,A
Which Python library is used for compression?,zlib,gzip,bz2,All of the above,D
What does the itertools.chain function do in Python?,Combines iterables,Splits iterables,Sorts iterables,Filters iterables,A
Which command monitors real-time processes in Linux?,top,htop,ps,monitor,B
What is the output of 'Python'.isnumeric() in Python?,True,False,Error,None,B
Which data structure is used in Python's OrderedDict?,Linked List,Hash Table,Both A and B,Tree,C
What does the __annotations__ attribute contain in Python?,Type hints,Class methods,Docstrings,Instance variables,A
Which algorithm is used in Bitcoin's blockchain?,SHA-256,RSA,AES,MD5,A
What is the time complexity of the Floyd-Warshall algorithm?,O(V^2),O(V^3),O(E log V),O(V log V),B
Which design pattern is used to ensure only one instance of a class exists?,Factory Pattern,Singleton Pattern,Observer Pattern,Strategy Pattern,B
What does the CAP theorem state about distributed systems?,Consistency, Availability, and Partition tolerance cannot all be guaranteed simultaneously,All three can be achieved with proper design,Only two can be achieved at any time,It depends on the network topology,A
Which algorithm is used for deadlock detection in operating systems?,Banker's Algorithm,Round Robin,First Come First Serve,Shortest Job First,A
What is the maximum number of nodes in a binary tree of height h?,2^h - 1,2^h,2^(h+1) - 1,2^(h+1),C
Which sorting algorithm has the best worst-case time complexity?,Quick Sort,Merge Sort,Heap Sort,Insertion Sort,C
What does the ACID property in database transactions stand for?,Atomicity, Consistency, Isolation, Durability,Atomicity, Consistency, Integrity, Durability,Atomicity, Consistency, Isolation, Distribution,Atomicity, Consistency, Independence, Durability,A
Which protocol is used for secure communication in blockchain?,HTTPS,SSL/TLS,WebSocket,WebRTC,B
What is the time complexity of finding the kth largest element using a min-heap?,O(n),O(n log k),O(k log n),O(log n),B
Which algorithm is used for load balancing in distributed systems?,Round Robin,Least Connections,Weighted Round Robin,All of the above,D
What does the SOLID principle in object-oriented design stand for?,Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion,Single Responsibility, Open Source, Liskov Substitution, Interface Segregation, Dependency Inversion,Single Responsibility, Open/Closed, Liskov Substitution, Inheritance Segregation, Dependency Inversion,Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Data Inversion,A
Which data structure is used in implementing a LRU cache?,Array,Linked List,Hash Map + Doubly Linked List,Binary Tree,C
What is the time complexity of the A* search algorithm?,O(V + E),O(V log V),O(b^d),O(n^2),C
Which protocol is used for service discovery in microservices?,HTTP,DNS,Consul,All of the above,D
What does the BASE property in NoSQL databases stand for?,Basically Available, Soft state, Eventual consistency,Build, Analyze, Store, Execute,Basically Available, Strong consistency, Eventual consistency,Build, Analyze, Store, Eventual consistency,A
Which algorithm is used for cycle detection in directed graphs?,DFS,BFS,Union-Find,Topological Sort,A
What is the maximum number of edges in a directed graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),D
Which design pattern is used for creating objects without specifying their exact classes?,Factory Pattern,Builder Pattern,Prototype Pattern,Abstract Factory Pattern,D
What does the CQRS pattern stand for?,Command Query Responsibility Segregation,Command Query Request Separation,Command Query Response Segregation,Command Query Resource Sepregation,A
Which algorithm is used for finding strongly connected components in a graph?,Tarjan's Algorithm,Dijkstra's Algorithm,Floyd-Warshall Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Boyer-Moore string matching algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time communication in web applications?,HTTP,WebSocket,WebRTC,All of the above,D
What does the Event Sourcing pattern involve?,Storing only the current state,Storing a sequence of events,Storing both state and events,Storing metadata only,B
Which algorithm is used for consensus in distributed systems?,Paxos,Raft,Both A and B,None of the above,C
What is the time complexity of the KMP (Knuth-Morris-Pratt) algorithm?,O(n),O(n + m),O(nm),O(n log m),B
What is the time complexity of the Bellman-Ford algorithm?,O(V),O(V log V),O(VE),O(V^2),C
Which design pattern is used for implementing undo functionality?,Command Pattern,Observer Pattern,State Pattern,Strategy Pattern,A
What does the 2PC (Two-Phase Commit) protocol ensure in distributed transactions?,Atomicity,Consistency,Isolation,Durability,A
Which algorithm is used for finding the shortest path in a weighted graph with negative edges?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Floyd-Warshall Algorithm,A* Algorithm,B
What is the maximum number of nodes in a complete binary tree of height h?,2^h - 1,2^h,2^(h+1) - 1,2^(h+1),C
Which sorting algorithm is stable and has O(n log n) time complexity?,Quick Sort,Merge Sort,Heap Sort,Shell Sort,B
What does the Brewer's CAP theorem state about distributed systems?,Only two of Consistency, Availability, and Partition tolerance can be guaranteed,All three can be achieved with proper design,Only one can be guaranteed at a time,It depends on the network protocol,A
Which algorithm is used for detecting cycles in an undirected graph?,DFS,BFS,Union-Find,Topological Sort,A
What is the time complexity of the Rabin-Karp string matching algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for service mesh communication?,HTTP,gRPC,Envoy,All of the above,D
What does the DRY principle in software development stand for?,Don't Repeat Yourself,Do Repeat Yourself,Don't Refactor Yet,Do Refactor Yourself,A
Which data structure is used in implementing a priority queue?,Stack,Queue,Heap,Hash Table,C
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
Which algorithm is used for load balancing in Kubernetes?,Round Robin,Least Connections,IP Hash,All of the above,D
What does the CQRS (Command Query Responsibility Segregation) pattern separate?,Read and write operations,Client and server,Database and cache,Frontend and backend,A
Which algorithm is used for finding articulation points in a graph?,DFS,BFS,Tarjan's Algorithm,Dijkstra's Algorithm,C
What is the maximum number of edges in an undirected graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),C
Which design pattern is used for implementing a family of related algorithms?,Factory Pattern,Strategy Pattern,Observer Pattern,Singleton Pattern,B
What does the Saga pattern handle in microservices?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
What is the time complexity of the Kruskal's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),A
Which protocol is used for real-time data streaming?,HTTP,WebSocket,Kafka,All of the above,D
What does the Circuit Breaker pattern prevent?,Cascading failures,Memory leaks,Deadlocks,Race conditions,A
Which algorithm is used for consensus in blockchain?,Proof of Work,Proof of Stake,Both A and B,None of the above,C
What is the time complexity of the Prim's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),B
What is the time complexity of the Ford-Fulkerson algorithm for maximum flow?,O(VE^2),O(V^2E),O(V^3),O(E^2),A
Which design pattern is used for implementing a state machine?,State Pattern,Strategy Pattern,Observer Pattern,Command Pattern,A
What does the 3PC (Three-Phase Commit) protocol add to 2PC?,Pre-commit phase,Abort phase,Recovery phase,Validation phase,A
Which algorithm is used for finding the longest path in a DAG?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the maximum number of nodes in a B-tree of order m and height h?,m^h - 1,m^h,m^(h+1) - 1,m^(h+1),C
Which sorting algorithm is in-place and has O(n log n) average time complexity?,Merge Sort,Quick Sort,Heap Sort,Shell Sort,B
What does the PACELC theorem extend the CAP theorem with?,Latency and Consistency,Performance and Availability,Partition and Consistency,Performance and Consistency,A
Which algorithm is used for finding the minimum spanning tree in a graph with negative edges?,Kruskal's Algorithm,Prim's Algorithm,Both A and B,None of the above,C
What is the time complexity of the Rabin fingerprinting algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time audio streaming?,WebRTC,RTMP,WebSocket,All of the above,D
What does the Retry pattern handle in distributed systems?,Transient failures,Permanent failures,Network timeouts,All of the above,D
Which algorithm is used for consensus in distributed databases?,Paxos,Raft,ZAB,All of the above,D
What is the time complexity of the Manacher's algorithm for longest palindromic substring?,O(n),O(n^2),O(n log n),O(n^3),A
Which design pattern is used for implementing a mediator?,Mediator Pattern,Observer Pattern,Command Pattern,Strategy Pattern,A
What does the Event-Driven Architecture pattern emphasize?,Synchronous communication,Asynchronous communication,Request-response,Client-server,B
Which algorithm is used for finding the shortest path in a graph with time-dependent weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Dynamic Programming,None of the above,C
What is the time complexity of the Z algorithm for pattern matching?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time collaborative editing?,Operational Transformation,WebSocket,WebRTC,All of the above,D
What does the Chain of Responsibility pattern implement?,Request handling chain,Command pattern,Observer pattern,Strategy pattern,A
Which algorithm is used for finding the maximum flow in a network with multiple sources and sinks?,Ford-Fulkerson,Edmonds-Karp,Preflow-Push,All of the above,D
What is the time complexity of the Hopcroft-Karp algorithm for bipartite matching?,O(E√V),O(V^2),O(E log V),O(V log V),A
Which data structure is used in implementing a skip list?,Linked List,Array,Tree,Hash Table,A
What does the YAGNI principle in software development stand for?,You Aren't Gonna Need It,You Are Gonna Need It,You Always Need It,You Never Need It,A
Which algorithm is used for finding the longest path in a directed acyclic graph?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
Which protocol is used for service discovery in Kubernetes?,DNS,Consul,Etcd,All of the above,D
What does the CQRS pattern separate in microservices?,Read and write operations,Client and server,Database and cache,Frontend and backend,A
Which algorithm is used for finding articulation points in an undirected graph?,DFS,BFS,Tarjan's Algorithm,Dijkstra's Algorithm,C
What is the maximum number of edges in a directed graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),D
Which design pattern is used for implementing a family of related algorithms?,Factory Pattern,Strategy Pattern,Observer Pattern,Singleton Pattern,B
What does the Saga pattern handle in distributed transactions?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
What is the time complexity of the Kruskal's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),A
Which protocol is used for real-time data streaming?,HTTP,WebSocket,Kafka,All of the above,D
What does the Circuit Breaker pattern prevent?,Cascading failures,Memory leaks,Deadlocks,Race conditions,A
Which algorithm is used for consensus in blockchain?,Proof of Work,Proof of Stake,Both A and B,None of the above,C
What is the time complexity of the Prim's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),B
What is the time complexity of the Ford-Fulkerson algorithm for maximum flow?,O(VE^2),O(V^2E),O(V^3),O(E^2),A
Which design pattern is used for implementing a state machine?,State Pattern,Strategy Pattern,Observer Pattern,Command Pattern,A
What does the 3PC (Three-Phase Commit) protocol add to 2PC?,Pre-commit phase,Abort phase,Recovery phase,Validation phase,A
Which algorithm is used for finding the longest path in a DAG?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the maximum number of nodes in a B-tree of order m and height h?,m^h - 1,m^h,m^(h+1) - 1,m^(h+1),C
Which sorting algorithm is in-place and has O(n log n) average time complexity?,Merge Sort,Quick Sort,Heap Sort,Shell Sort,B
What does the PACELC theorem extend the CAP theorem with?,Latency and Consistency,Performance and Availability,Partition and Consistency,Performance and Consistency,A
Which algorithm is used for finding the minimum spanning tree in a graph with negative edges?,Kruskal's Algorithm,Prim's Algorithm,Both A and B,None of the above,C
What is the time complexity of the Rabin fingerprinting algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time audio streaming?,WebRTC,RTMP,WebSocket,All of the above,D
What does the Retry pattern handle in distributed systems?,Transient failures,Permanent failures,Network timeouts,All of the above,D
Which algorithm is used for consensus in distributed databases?,Paxos,Raft,ZAB,All of the above,D
What is the time complexity of the Manacher's algorithm for longest palindromic substring?,O(n),O(n^2),O(n log n),O(n^3),A
Which design pattern is used for implementing a mediator?,Mediator Pattern,Observer Pattern,Command Pattern,Strategy Pattern,A
What does the Event-Driven Architecture pattern emphasize?,Synchronous communication,Asynchronous communication,Request-response,Client-server,B
Which algorithm is used for finding the shortest path in a graph with time-dependent weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Dynamic Programming,None of the above,C
What is the time complexity of the Z algorithm for pattern matching?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time collaborative editing?,Operational Transformation,WebSocket,WebRTC,All of the above,D
What does the Chain of Responsibility pattern implement?,Request handling chain,Command pattern,Observer pattern,Strategy pattern,A
Which algorithm is used for finding the maximum flow in a network with multiple sources and sinks?,Ford-Fulkerson,Edmonds-Karp,Preflow-Push,All of the above,D
What is the time complexity of the Hopcroft-Karp algorithm for bipartite matching?,O(E√V),O(V^2),O(E log V),O(V log V),A
Which data structure is used in implementing a skip list?,Linked List,Array,Tree,Hash Table,A
What does the YAGNI principle in software development stand for?,You Aren't Gonna Need It,You Are Gonna Need It,You Always Need It,You Never Need It,A
Which algorithm is used for finding the longest path in a directed acyclic graph?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
