Question;Option A;Option B;Option C;Option D;answer
Complete the series: Z," X"," V"," T"," ___?;Q;R;S;P;B
A car travels 60 km in 45 minutes. What is its speed in km/h?;60;70;80;90;C
Which is NOT a prime number?;11;13;17;21;D
If 4 apples cost $2," how much do 10 apples cost?";$4;$5;$6;$8;B
Which shape has 5 sides?;Pentagon;Hexagon;Octagon;Decagon;A
What is the square root of 144?;10;12;14;16;B
Which word is misspelled?;Accommodate;Separate;Definately;Necessary;C
If 30% of a number is 90," what is the number?;100;200;300;400;C
Which is the lightest?;1 kg cotton;1 kg iron;Both equal;Can't compare;C
Solve: (10 + 5) × 2 - 8;12;18;22;32;C
What is the next number: 2," 6"," 12"," 20"," ___?;24;28;30;32;C
Which gas is most abundant in Earth's atmosphere?;Oxygen;Carbon dioxide;Nitrogen;Hydrogen;C
If 8 workers build a wall in 6 days," how many workers are needed to build it in 3 days?;12;14;16;20;C
Which is the longest river in the world?;Nile;Amazon;Yangtze;Mississippi;A
What is 1/4 + 1/3?;1/7;5/12;7/12;2/3;C
If RED is coded as 1854," how is GREEN coded?;755146;775146;795146;715546;B
Which is NOT a programming language?;Java;Python;HTML;Safari;D
A triangle with sides 3," 4"," 5 "is a ___ triangle.;Equilateral;Isosceles;Scalene;Right-angled;D
What is 12.5% as a fraction?;1/4;1/6;1/8;1/12;C
Which month has 28 days?;January;February;November;All of them;D
If 3x + 2y = 10 and x = 2," what is y ?";1;2;3;4;B
Which country is NOT in Europe?;Brazil;France;Germany;Italy;A
What is the area of a circle with radius 7? (π=22/7);44;88;154;308;C
Complete the analogy: Pen is to Write as Knife is to ___.;Cut;Draw;Eat;Throw;A
Which is the smallest continent?;Africa;Asia;Australia;Europe;C
What is 0.75 as a percentage?;7.5%;75%;750%;0.075%;B
If 5 books cost $25," how much do 8 books cost?";$30;$35;$40;$45;C
Which is the largest ocean?;Atlantic;Arctic;Indian;Pacific;D
Solve: 2² + 3³ + 4²;4;9;16;33;D
What is the next letter: B," D"," G"," K"," ___?;M;N;O;P;D
A number increased by 20% becomes 120. What is the number?;80;100;120;140;B
Which is NOT a vowel?;A;E;H;U;C
What is the perimeter of a square with area 25?;10;15;20;25;C
If 1=5," 2=10"," 3=15"," then 5=?;5;20;25;30;C
Which is NOT a polygon?;Circle;Hexagon;Pentagon;Square;A
What is 3/4 of 100?;25;50;75;100;C
If all Thigs are Wugs and no Wugs are Zugs," then no Thigs are Zugs.;True;False;Maybe;None of the above;A
Which is the capital of Japan?;Beijing;Seoul;Tokyo;Bangkok;C
What is 10% of 50 plus 50% of 10?;5;10;15;20;B
Complete the series: 1," 4"," 9"," 16 ___?;20;23;25;30;C
Which is NOT a metal?;Gold;Silver;Oxygen;Copper;C
If 2 pipes fill a tank in 6 hours," how long will 3 pipes take?;2;3;4;6;C
What is the missing number: 5," 11"," 17"," 23"," ___?;27;29;31;33;B
Which planet is known as the Red Planet?;Earth;Mars;Jupiter;Venus;B
Solve: 1 + 2 × 3 ÷ (4 - 1);1;2;3;4;C
What is the next letter: J," F"," M"," A"," ___?;M;J;A;S;A
A store offers 20% off a $50 item. What is the sale price?;$30;$40;$45;$48;B
Which is the largest 2-digit prime number?;89;91;97;99;C
If 1 yard = 3 feet," how many feet are in 5 yards?;8;12;15;18;C
What is the smallest perfect number?;1;6;12;28;B
Complete the analogy: Doctor is to Hospital as Teacher is to ___.;School;Office;Library;Park;A
Which is NOT a triangle type?;Scalene;Isosceles;Equilateral;Rectangular;D
What is 2³ + 3²?;5;13;17;25;C
If 4x - 7 = 9," what is x?;2;3;4;5;C
Which country is shaped like a boot?;France;Greece;Italy;Spain;C
What is the sum of angles in a triangle?;90°;180°;270°;360°;B
Which is the smallest number divisible by 2," 3"," and 5?;10;15;20;30;D
If 10% of x is 5," what is x?;10;20;50;100;C
Which is NOT a fruit?;Apple;Potato;Banana;Orange;B
What is 0.1 × 0.1?;0.01;0.1;1;10;A
Complete the series: 2," 5"," 10"," 17"," ___?;24;26;28;30;B
Which is the longest side of a right-angled triangle?;Base;Height;Hypotenuse;Diagonal;C
What is the sum of first 15 natural numbers?;105;115;120;130;C
A man buys a laptop for $1200 and sells it at a loss of 15%. What is the selling price?;$900;$960;$1020;$1050;C
If the ratio of boys to girls in a class is 3:2 and there are 30 students, how many girls are there?;10;12;15;18;B
A sum of money doubles itself in 8 years at simple interest. What is the rate per annum?;10%;12.5%;15%;20%;B
If a car covers 150 km in 2.5 hours, what is its average speed?;50 km/h;55 km/h;60 km/h;65 km/h;C
A shopkeeper marks an item 40% above cost price and allows a discount of 10%. What is the profit percent?;26%;28%;30%;32%;A
If the population of a town increases by 10% annually and is 24,200 now, what was it a year ago?;22,000;22,500;23,000;24,000;C
A train 180 m long passes a pole in 15 seconds. What is its speed in km/h?;36;42;48;54;A
If the average of five consecutive odd numbers is 25, what is the largest number?;27;29;31;33;C
A can do a piece of work in 12 days, B in 16 days. In how many days will they finish it together?;6.86;7;7.2;7.5;C
If the selling price of 20 articles is equal to the cost price of 25 articles, what is the profit percent?;20%;25%;30%;35%;B
A train running at 60 km/h crosses a pole in 30 seconds. What is the length of the train in meters?;300;400;500;600;B
If 3x + 2y = 12 and 2x + 3y = 13, what is the value of x + y?;2;3;4;5;C
A can complete a work in 15 days and B in 10 days. If they work together for 5 days, how much work is left?;1/2;1/3;1/4;1/5;A
If the sum of three consecutive even numbers is 54, what is the largest number?;16;18;20;22;C
If the code for 'MANGO' is 'NBOHP', what is the code for 'APPLE'?;BQQMF;BQQNF;BPPMF;BPPLE;A
A clock gains 5 minutes every hour. If it is set right at 12 noon, what will be the time shown after 6 real hours?;5:30;6:30;7:00;7:30;C
If 40% of a number is 80, what is 60% of the same number?;100;110;120;140;C
If the perimeter of a rectangle is 60 cm and its length is twice its width, what is the area?;100 cm²;150 cm²;200 cm²;225 cm²;C
If the average of 5 numbers is 27 and the average of 3 of them is 25, what is the average of the remaining two?;29;30;31;32;A
If in a certain code, 'TEAM' is written as 'UFBN', how is 'GAME' written in that code?;HBNF;HBNF;HAME;HANE;A
A man can row 12 km downstream in 3 hours and the same distance upstream in 4 hours. What is the speed of the stream?;0.5 km/h;1 km/h;1.5 km/h;2 km/h;B
If the sum of the ages of A and B is 45 years and A is 5 years older than B, what is the age of B?;15;18;20;25;C
If the average of 10 numbers is 23 and one number is 43, what is the average of the remaining nine numbers?;20;21;22;23;C
A sum of money amounts to $2420 in 2 years at 10% per annum compound interest. What is the principal?;$2000;$2100;$2200;$2300;A
If 5 men or 9 women can do a piece of work in 19 days, how many days will 3 men and 6 women take?;10;12;14;15;B
If the ratio of the present ages of A and B is 4:5 and after 5 years it will be 5:6, what is B's present age?;20;25;30;35;B
A train 150 m long is running at 54 km/h. How long will it take to cross a platform 150 m long?;10 s;15 s;20 s;25 s;C
If the cost price of 15 articles is equal to the selling price of 12 articles, what is the profit percent?;20%;25%;30%;35%;D
If 2x + 3y = 12 and 3x + 2y = 13, what is the value of x?;1;2;3;4;B
A can do a work in 18 days, B in 27 days. They work together for 6 days. What fraction of work is left?;1/3;1/2;2/3;3/4;A
If the perimeter of a triangle is 54 cm and its sides are in the ratio 5:7:12, what is the length of the longest side?;18;21;24;27;C
If the difference between compound and simple interest on $5000 for 2 years at 4% per annum is?;$2;$4;$6;$8;B
If the sum of three consecutive odd numbers is 51, what is the smallest number?;15;17;19;21;A
A can do a piece of work in 10 days, B in 15 days. If B works alone for 5 days and then A joins, in how many more days will the work be finished?;2;3;4;5;C
If the average of five numbers is 27 and the average of three of them is 25, what is the average of the remaining two?;29;30;31;32;A
If the product of two numbers is 2028 and their HCF is 13, what is their LCM?;156;169;2028;6084;C
If a sum of money becomes 4 times in 12 years at simple interest, in how many years will it become 5 times?;15;16;18;20;D
If the difference between the squares of two numbers is 45 and the difference between the numbers is 5, what is the sum of the numbers?;9;11;13;15;B
If the area of a circle is 616 cm², what is its circumference? (π=22/7);66 cm;77 cm;88 cm;99 cm;B
If the sum of the digits of a two-digit number is 9 and the difference between the digits is 3, what is the number?;36;45;63;72;C
If the ratio of the length and breadth of a rectangle is 3:2 and its area is 150 cm², what is its perimeter?;30 cm;40 cm;50 cm;60 cm;D
If a person spends 80% of his income and saves $600, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 60 years and the ratio is 4:1, what will be the ratio after 5 years?;3:1;7:2;8:3;9:2;B
If the difference between the compound and simple interest on $2500 for 2 years at 4% per annum is?;$2;$4;$6;$8;A
If the sum of the ages of A, B, and C is 90 years and the ratio is 2:3:4, what is the age of B?;20;25;30;35;C
If the sum of two numbers is 40 and their difference is 4, what is the product of the numbers?;384;396;400;414;A
If a boat covers 24 km upstream in 6 hours and the same distance downstream in 4 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;B
If the average of 7 numbers is 20 and the sum of six of them is 114, what is the seventh number?;20;22;24;26;C
If the ratio of the ages of A and B is 5:7 and after 6 years it will be 7:9, what is the present age of A?;24;25;30;35;A
If a sum of money triples itself in 8 years at simple interest, in how many years will it become five times?;16;20;24;32;C
If the area of a rectangle is 96 cm² and its length is 12 cm, what is its perimeter?;28 cm;32 cm;36 cm;40 cm;C
If the difference between the compound and simple interest on $4000 for 2 years at 5% per annum is?;$5;$8;$10;$12;C
If the sum of three consecutive multiples of 5 is 75, what is the largest number?;25;30;35;40;C
If the product of two numbers is 120 and their HCF is 4, what is their LCM?;20;24;30;40;D
If the perimeter of a square is 48 cm, what is its area?;144 cm²;196 cm²;256 cm²;324 cm²;A
If the sum of the ages of A, B, and C is 72 years and the ratio is 3:4:5, what is the age of C?;20;24;28;30;D
If a train 200 m long passes a platform 300 m long in 30 seconds, what is its speed in km/h?;60;72;80;90;B
If the average of 8 numbers is 15 and the sum of seven of them is 100, what is the eighth number?;10;15;20;25;C
If the sum of two numbers is 50 and their product is 600, what is the sum of their reciprocals?;1/6;1/8;1/10;1/12;B
If the area of a triangle is 60 cm² and its base is 12 cm, what is its height?;8 cm;10 cm;12 cm;14 cm;A
If the sum of the digits of a two-digit number is 11 and the difference between the digits is 3, what is the number?;47;56;74;83;C
If the ratio of the length and breadth of a rectangle is 5:3 and its area is 150 cm², what is its perimeter?;28 cm;32 cm;40 cm;52 cm;C
If a person spends 75% of his income and saves $500, what is his income?;$1500;$1800;$2000;$2200;C
If the sum of the present ages of a father and his son is 50 years and the ratio is 3:2, what will be the ratio after 10 years?;4:3;5:3;7:4;8:5;A
If the difference between the compound and simple interest on $3000 for 2 years at 5% per annum is?;$3.75;$4.50;$5.25;$6.00;C
If the sum of the ages of A, B, and C is 81 years and the ratio is 2:3:4, what is the age of B?;18;21;27;36;C
If the sum of two numbers is 60 and their difference is 12, what is the product of the numbers?;624;672;720;784;B
If a boat covers 30 km upstream in 5 hours and the same distance downstream in 3 hours, what is the speed of the boat in still water?;4 km/h;5 km/h;6 km/h;7 km/h;C
If the average of 9 numbers is 18 and the sum of eight of them is 128, what is the ninth number?;18;20;22;34;B
If the ratio of the present ages of A and B is 6:7 and after 8 years it will be 7:8, what is B's present age?;32;36;40;44;B
If the sum of two numbers is 70 and their difference is 14, what is the product of the numbers?;1156;1224;1296;1344;C
If a boat covers 36 km upstream in 9 hours and the same distance downstream in 6 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;B
If the average of 11 numbers is 30 and the sum of ten of them is 290, what is the eleventh number?;10;20;30;40;D
If the ratio of the ages of A and B is 7:9 and after 7 years it will be 8:10, what is the present age of A?;28;35;42;49;A
If a sum of money quadruples itself in 12 years at simple interest, in how many years will it become six times?;18;20;24;30;C
If the area of a rectangle is 180 cm² and its length is 15 cm, what is its perimeter?;40 cm;48 cm;52 cm;60 cm;B
If the difference between the compound and simple interest on $5000 for 3 years at 5% per annum is?;$18.75;$20.25;$22.50;$25.00;A
If the sum of four consecutive multiples of 3 is 54, what is the largest number?;12;15;18;21;C
If the product of two numbers is 180 and their HCF is 6, what is their LCM?;30;36;60;90;D
If the perimeter of a square is 64 cm, what is its area?;256 cm²;324 cm²;400 cm²;484 cm²;A
If the sum of the ages of A, B, and C is 108 years and the ratio is 3:5:7, what is the age of C?;28;42;56;63;D
If a train 250 m long passes a platform 350 m long in 40 seconds, what is its speed in km/h?;45;54;63;72;B
If the average of 12 numbers is 24 and the sum of eleven of them is 253, what is the twelfth number?;19;23;25;35;D
If the sum of two numbers is 80 and their product is 1500, what is the sum of their reciprocals?;1/15;1/16;1/20;1/25;C
If the area of a triangle is 84 cm² and its base is 14 cm, what is its height?;10 cm;12 cm;14 cm;16 cm;B
If the sum of the digits of a two-digit number is 13 and the difference between the digits is 1, what is the number?;67;76;85;94;A
If the ratio of the length and breadth of a rectangle is 7:4 and its area is 224 cm², what is its perimeter?;48 cm;52 cm;60 cm;66 cm;D
If a person spends 70% of his income and saves $900, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 72 years and the ratio is 5:1, what will be the ratio after 8 years?;4:1;5:2;6:1;7:2;B
If the difference between the compound and simple interest on $4000 for 3 years at 4% per annum is?;$7.68;$8.64;$9.28;$10.24;B
If the sum of the ages of A, B, and C is 99 years and the ratio is 4:5:6, what is the age of B?;25;30;35;40;C
If the sum of two numbers is 120 and their difference is 24, what is the product of the numbers?;2304;2496;2700;2916;A
If a boat covers 60 km upstream in 15 hours and the same distance downstream in 10 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;C
If the average of 16 numbers is 34 and the sum of fifteen of them is 480, what is the sixteenth number?;24;34;44;54;D
If the ratio of the present ages of A and B is 10:11 and after 10 years it will be 11:12, what is B's present age?;40;44;48;52;B
If the sum of two numbers is 100 and their difference is 20, what is the product of the numbers?;1800;2000;2400;3200;C
If a boat covers 48 km upstream in 12 hours and the same distance downstream in 8 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;B
If the average of 15 numbers is 32 and the sum of fourteen of them is 420, what is the fifteenth number?;30;40;48;60;C
If the ratio of the ages of A and B is 9:11 and after 11 years it will be 10:12, what is the present age of A?;36;45;54;63;A
If a sum of money quintuples itself in 20 years at simple interest, in how many years will it become ten times?;30;40;50;60;B
If the area of a rectangle is 294 cm² and its length is 21 cm, what is its perimeter?;56 cm;62 cm;68 cm;72 cm;C
If the difference between the compound and simple interest on $6000 for 2 years at 6% per annum is?;$12.96;$13.32;$14.16;$15.12;A
If the sum of five consecutive multiples of 4 is 100, what is the largest number?;20;24;28;32;D
If the product of two numbers is 210 and their HCF is 7, what is their LCM?;21;30;35;210;D
If the perimeter of a square is 80 cm, what is its area?;200 cm²;300 cm²;400 cm²;500 cm²;C
If the sum of the ages of A, B, and C is 126 years and the ratio is 2:5:7, what is the age of C?;42;56;70;84;C
If a train 300 m long passes a platform 400 m long in 50 seconds, what is its speed in km/h?;36;42;50;54;C
If the average of 14 numbers is 28 and the sum of thirteen of them is 338, what is the fourteenth number?;20;30;40;50;B
If the sum of two numbers is 110 and their product is 2700, what is the sum of their reciprocals?;1/30;1/36;1/40;1/45;A
If the area of a triangle is 120 cm² and its base is 20 cm, what is its height?;10 cm;12 cm;14 cm;16 cm;B
If the sum of the digits of a two-digit number is 15 and the difference between the digits is 3, what is the number?;69;78;87;96;C
If the ratio of the length and breadth of a rectangle is 9:5 and its area is 405 cm², what is its perimeter?;38 cm;44 cm;52 cm;56 cm;D
If a person spends 65% of his income and saves $1050, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 84 years and the ratio is 7:2, what will be the ratio after 14 years?;3:1;4:1;5:2;6:1;C
If the difference between the compound and simple interest on $5000 for 4 years at 5% per annum is?;$25.25;$27.50;$29.75;$32.00;B
If the sum of the ages of A, B, and C is 117 years and the ratio is 5:6:8, what is the age of B?;26;36;39;48;C
If the sum of two numbers is 120 and their difference is 24, what is the product of the numbers?;2304;2496;2700;2916;A
If a boat covers 60 km upstream in 15 hours and the same distance downstream in 10 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;C
If the average of 16 numbers is 34 and the sum of fifteen of them is 480, what is the sixteenth number?;24;34;44;54;D
If the ratio of the present ages of A and B is 10:11 and after 10 years it will be 11:12, what is B's present age?;40;44;48;52;B
If the difference between the compound and simple interest on $6000 for 3 years at 6% per annum is?;$10.80;$11.52;$12.24;$12.96;B
If the sum of two numbers is 150 and their difference is 30, what is the product of the numbers?;5400;5625;6000;6400;C
If a boat covers 72 km upstream in 18 hours and the same distance downstream in 12 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;B
If the average of 18 numbers is 36 and the sum of seventeen of them is 595, what is the eighteenth number?;25;35;45;55;C
If the ratio of the ages of A and B is 11:13 and after 13 years it will be 12:14, what is the present age of A?;44;55;66;77;A
If a sum of money sextuples itself in 30 years at simple interest, in how many years will it become twelve times?;50;60;70;80;B
If the area of a rectangle is 360 cm² and its length is 24 cm, what is its perimeter?;60 cm;72 cm;84 cm;96 cm;B
If the difference between the compound and simple interest on $7000 for 2 years at 7% per annum is?;$19.11;$20.58;$21.63;$22.54;C
If the sum of six consecutive multiples of 6 is 186, what is the largest number?;36;42;48;54;C
If the product of two numbers is 420 and their HCF is 14, what is their LCM?;30;42;60;210;D
If the perimeter of a square is 96 cm, what is its area?;324 cm²;400 cm²;576 cm²;625 cm²;C
If the sum of the ages of A, B, and C is 144 years and the ratio is 3:4:5, what is the age of C?;36;48;60;72;C
If a train 400 m long passes a platform 500 m long in 72 seconds, what is its speed in km/h?;36;40;45;45;B
If the average of 17 numbers is 34 and the sum of sixteen of them is 520, what is the seventeenth number?;22;32;42;52;C
If the sum of two numbers is 130 and their product is 3600, what is the sum of their reciprocals?;1/30;1/36;1/40;1/45;B
If the area of a triangle is 154 cm² and its base is 22 cm, what is its height?;10 cm;12 cm;14 cm;16 cm;C
If the sum of the digits of a two-digit number is 17 and the difference between the digits is 1, what is the number?;89;98;79;97;D
If the ratio of the length and breadth of a rectangle is 11:7 and its area is 385 cm², what is its perimeter?;36 cm;44 cm;54 cm;72 cm;D
If a person spends 60% of his income and saves $1200, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 96 years and the ratio is 8:3, what will be the ratio after 12 years?;3:1;4:1;5:2;6:1;C
If the difference between the compound and simple interest on $8000 for 3 years at 6% per annum is?;$28.80;$30.24;$32.16;$34.56;B
If the sum of the ages of A, B, and C is 135 years and the ratio is 5:6:7, what is the age of B?;30;36;42;48;C
If the sum of two numbers is 140 and their difference is 28, what is the product of the numbers?;3136;3360;3600;3844;B
If a boat covers 84 km upstream in 21 hours and the same distance downstream in 14 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;C
If the average of 19 numbers is 38 and the sum of eighteen of them is 666, what is the nineteenth number?;20;30;40;50;D
If the ratio of the present ages of A and B is 12:13 and after 14 years it will be 13:14, what is B's present age?;48;52;56;60;A
If a sum of money septuples itself in 42 years at simple interest, in how many years will it become fourteen times?;70;84;98;112;B
If the area of a rectangle is 420 cm² and its length is 28 cm, what is its perimeter?;60 cm;72 cm;84 cm;96 cm;C
If the difference between the compound and simple interest on $9000 for 2 years at 8% per annum is?;$28.80;$30.24;$32.16;$34.56;C
If the sum of seven consecutive multiples of 7 is 315, what is the largest number?;35;42;49;56;C
If the product of two numbers is 504 and their HCF is 12, what is their LCM?;36;42;48;504;D
If the perimeter of a square is 112 cm, what is its area?;484 cm²;576 cm²;784 cm²;900 cm²;C
If the sum of the ages of A, B, and C is 162 years and the ratio is 4:5:6, what is the age of C?;36;54;72;90;B
If a train 500 m long passes a platform 600 m long in 90 seconds, what is its speed in km/h?;36;40;45;45;B
If the average of 20 numbers is 40 and the sum of nineteen of them is 741, what is the twentieth number?;19;29;39;59;D
If the sum of two numbers is 160 and their product is 4900, what is the sum of their reciprocals?;1/40;1/49;1/56;1/64;B
If the area of a triangle is 180 cm² and its base is 30 cm, what is its height?;10 cm;12 cm;14 cm;16 cm;A
If the sum of the digits of a two-digit number is 19 and the difference between the digits is 1, what is the number?;91;92;93;94;D
If the ratio of the length and breadth of a rectangle is 13:9 and its area is 585 cm², what is its perimeter?;44 cm;52 cm;64 cm;88 cm;C
If a person spends 55% of his income and saves $1350, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 108 years and the ratio is 9:4, what will be the ratio after 16 years?;3:1;4:1;5:2;6:1;C
If the difference between the compound and simple interest on $10000 for 2 years at 10% per annum is?;$90;$95;$100;$105;C
If the sum of the ages of A, B, and C is 153 years and the ratio is 6:7:8, what is the age of B?;36;42;54;63;B
If the sum of two numbers is 170 and their difference is 34, what is the product of the numbers?;5040;5324;5616;5929;C
If a boat covers 96 km upstream in 24 hours and the same distance downstream in 16 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;B
If the average of 21 numbers is 42 and the sum of twenty of them is 800, what is the twenty-first number?;22;32;42;82;D
If the ratio of the present ages of A and B is 13:15 and after 15 years it will be 14:16, what is B's present age?;52;60;68;76;A
If the difference between the compound and simple interest on $11000 for 2 years at 11% per annum is?;$121;$132.10;$143.21;$154.32;C
If a sum of money octuples itself in 56 years at simple interest, in how many years will it become sixteen times?;98;112;126;140;B
If the area of a rectangle is 480 cm² and its length is 32 cm, what is its perimeter?;64 cm;76 cm;88 cm;94 cm;C
If the difference between the compound and simple interest on $12000 for 2 years at 9% per annum is?;$38.88;$40.32;$42.48;$44.64;C
If the sum of eight consecutive multiples of 8 is 400, what is the largest number?;48;56;64;72;C
If the product of two numbers is 600 and their HCF is 15, what is their LCM?;30;40;60;600;D
If the perimeter of a square is 128 cm, what is its area?;576 cm²;784 cm²;1024 cm²;1156 cm²;C
If the sum of the ages of A, B, and C is 180 years and the ratio is 5:6:7, what is the age of C?;45;60;70;84;C
If a train 600 m long passes a platform 700 m long in 108 seconds, what is its speed in km/h?;36;40;45;45;B
If the average of 22 numbers is 44 and the sum of twenty-one of them is 900, what is the twenty-second number?;24;34;44;68;D
If the sum of two numbers is 180 and their product is 6400, what is the sum of their reciprocals?;1/50;1/64;1/72;1/80;B
If the area of a triangle is 210 cm² and its base is 35 cm, what is its height?;10 cm;12 cm;14 cm;16 cm;B
If the sum of the digits of a two-digit number is 21 and the difference between the digits is 1, what is the number?;95;96;97;98;D
If the ratio of the length and breadth of a rectangle is 15:11 and its area is 825 cm², what is its perimeter?;52 cm;64 cm;76 cm;104 cm;D
If a person spends 50% of his income and saves $1500, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 120 years and the ratio is 10:5, what will be the ratio after 20 years?;3:1;4:1;5:2;6:1;C
If the difference between the compound and simple interest on $15000 for 2 years at 12% per annum is?;$108;$115.20;$122.40;$129.60;C
If the sum of the ages of A, B, and C is 171 years and the ratio is 7:8:9, what is the age of B?;36;42;48;54;C
If the sum of two numbers is 190 and their difference is 38, what is the product of the numbers?;6720;7056;7392;7744;C
If a boat covers 108 km upstream in 27 hours and the same distance downstream in 18 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;B
If the average of 23 numbers is 46 and the sum of twenty-two of them is 1000, what is the twenty-third number?;26;36;46;58;D
If the ratio of the present ages of A and B is 14:17 and after 17 years it will be 15:18, what is B's present age?;56;68;80;92;A
If a sum of money nonuples itself in 72 years at simple interest, in how many years will it become eighteen times?;126;144;162;180;B
If the area of a rectangle is 540 cm² and its length is 36 cm, what is its perimeter?;68 cm;80 cm;92 cm;102 cm;D
If the difference between the compound and simple interest on $18000 for 2 years at 15% per annum is?;$67.50;$72.00;$76.50;$81.00;C
If the sum of nine consecutive multiples of 9 is 513, what is the largest number?;45;54;63;72;C
If the product of two numbers is 720 and their HCF is 18, what is their LCM?;36;40;60;720;D
If the perimeter of a square is 144 cm, what is its area?;676 cm²;784 cm²;1024 cm²;1296 cm²;D
If the sum of the ages of A, B, and C is 198 years and the ratio is 6:7:8, what is the age of C?;48;56;64;72;C
If a train 700 m long passes a platform 800 m long in 126 seconds, what is its speed in km/h?;36;40;45;45;B
If the average of 24 numbers is 48 and the sum of twenty-three of them is 1080, what is the twenty-fourth number?;28;38;48;72;D
If the sum of two numbers is 200 and their product is 8100, what is the sum of their reciprocals?;1/60;1/81;1/90;1/100;B
If the area of a triangle is 240 cm² and its base is 40 cm, what is its height?;10 cm;12 cm;14 cm;16 cm;B
If the sum of the digits of a two-digit number is 23 and the difference between the digits is 1, what is the number?;97;98;99;100;D
If the ratio of the length and breadth of a rectangle is 17:13 and its area is 1105 cm², what is its perimeter?;60 cm;72 cm;84 cm;120 cm;D
If a person spends 45% of his income and saves $1650, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 132 years and the ratio is 11:6, what will be the ratio after 24 years?;3:1;4:1;5:2;6:1;C
If the difference between the compound and simple interest on $20000 for 2 years at 18% per annum is?;$129.60;$138.24;$147.60;$157.68;C
If the sum of the ages of A, B, and C is 189 years and the ratio is 8:9:10, what is the age of B?;42;54;63;72;C
If the sum of two numbers is 210 and their difference is 42, what is the product of the numbers?;8064;8464;8876;9300;C
